word,score
brond,2.0
aback,3.0
arose,2.0
abase,3.0
grate,2.0
ovate,3.0
abate,4.0
anger,2.0
abbey,3.0
crudo,2.0
abbot,3.0
abhor,3.0
beard,2.0
adobe,3.0
abide,4.0
abled,2.0
abode,4.0
abort,3.0
about,3.0
above,3.0
abuse,4.0
crags,2.0
abyss,3.0
acorn,3.0
acrid,3.0
tronc,2.0
actor,3.0
acute,3.0
evade,3.0
adage,4.0
admit,3.0
adapt,4.0
wrang,2.0
adept,3.0
admin,3.0
adopt,3.0
adore,3.0
adorn,3.0
fungi,2.0
adult,3.0
chaff,3.0
affix,4.0
afire,3.0
afoot,4.0
corni,2.0
aloof,3.0
afoul,4.0
after,2.0
avian,3.0
again,4.0
amuck,3.0
agape,4.0
agate,3.0
agent,3.0
gnarl,2.0
algae,3.0
agile,4.0
aging,3.0
allay,2.0
aglow,3.0
agony,3.0
agora,3.0
agree,3.0
amend,3.0
ahead,4.0
amber,3.0
aider,4.0
aisle,2.0
drawl,3.0
alarm,4.0
amply,3.0
album,4.0
repla,2.0
alert,3.0
alibi,3.0
alien,2.0
align,3.0
amble,3.0
alive,4.0
alike,5.0
alley,3.0
allot,2.0
allow,3.0
alloy,3.0
aloft,3.0
alone,3.0
along,3.0
aloud,4.0
alpha,4.0
rotis,2.0
altar,3.0
alter,2.0
amass,3.0
amaze,4.0
amiss,4.0
amity,3.0
among,4.0
ample,4.0
amuse,4.0
angel,3.0
angle,3.0
angry,3.0
scrob,2.0
angst,3.0
enema,3.0
anime,4.0
ankle,3.0
annex,3.0
axion,3.0
annoy,4.0
annul,3.0
anode,3.0
antic,3.0
anvil,4.0
aorta,3.0
apart,3.0
aphid,3.0
aping,4.0
apnea,3.0
apple,4.0
apply,4.0
apron,3.0
aptly,3.0
arbor,3.0
ardor,3.0
cream,3.0
arena,4.0
argue,4.0
arise,3.0
arrow,3.0
armor,4.0
croak,3.0
aroma,4.0
copay,3.0
array,4.0
arson,3.0
artsy,2.0
ascot,3.0
askew,2.0
ashen,3.0
aside,3.0
assay,3.0
asset,2.0
atoll,3.0
atone,3.0
attic,3.0
dogma,3.0
audio,4.0
audit,3.0
chair,3.0
augur,4.0
junta,3.0
aunty,4.0
alaap,3.0
avail,4.0
avert,3.0
avoid,3.0
await,3.0
awake,4.0
award,4.0
aware,3.0
awash,3.0
awful,4.0
awoke,4.0
axial,4.0
foamy,3.0
axiom,4.0
azure,4.0
corny,2.0
bacon,3.0
cumin,2.0
badge,3.0
bingy,2.0
badly,3.0
lynch,2.0
bagel,3.0
podgy,3.0
baggy,4.0
gormy,2.0
caper,3.0
waver,4.0
baker,5.0
paler,2.0
baler,3.0
rally,2.0
balmy,3.0
banal,3.0
banjo,3.0
barge,3.0
baron,3.0
basal,2.0
sensi,2.0
basic,3.0
basil,3.0
basin,3.0
basis,3.0
chibs,2.0
baste,3.0
corby,2.0
batch,3.0
haute,2.0
bathe,3.0
baton,3.0
batty,3.0
bawdy,4.0
bayou,3.0
beach,3.0
beady,3.0
burfi,2.0
beast,3.0
drone,2.0
beech,3.0
beefy,4.0
rieve,2.0
edict,3.0
befit,4.0
began,3.0
begat,3.0
cerne,2.0
beget,3.0
begin,3.0
begun,4.0
eying,3.0
being,4.0
himbo,2.0
belch,3.0
belie,3.0
belle,3.0
belly,4.0
below,3.0
bench,4.0
beret,3.0
furry,3.0
merry,4.0
berry,5.0
trite,2.0
berth,3.0
upbow,2.0
beset,3.0
hotel,2.0
betel,3.0
bevor,2.0
bevel,3.0
bezel,3.0
doing,2.0
rifle,3.0
bible,4.0
rownd,2.0
chief,3.0
bicep,4.0
courd,2.0
dying,3.0
biddy,4.0
groin,2.0
bigot,3.0
bilge,3.0
fugly,2.0
dhobi,3.0
billy,4.0
finch,3.0
binge,4.0
inbox,3.0
bingo,4.0
zymic,3.0
biome,4.0
birch,3.0
north,2.0
birth,4.0
mucho,2.0
gross,3.0
bison,4.0
biked,3.0
bitty,4.0
flack,3.0
black,4.0
fehme,3.0
blade,4.0
blame,4.0
biped,3.0
bland,4.0
blank,4.0
flare,3.0
blare,4.0
blast,2.0
blaze,5.0
bleak,4.0
bleat,3.0
bleed,3.0
bleep,4.0
blend,3.0
aloes,2.0
bless,3.0
fling,3.0
blimp,4.0
livid,3.0
blind,4.0
blink,3.0
forbs,2.0
bliss,3.0
troll,2.0
blitz,3.0
bloat,3.0
block,3.0
elbow,3.0
bloke,4.0
blood,3.0
blond,4.0
bloom,3.0
blown,4.0
bluer,3.0
flung,2.0
bluff,4.0
blunt,3.0
blurb,3.0
blurt,3.0
blush,3.0
board,3.0
boast,3.0
bongo,3.0
bobby,4.0
nymph,3.0
boney,4.0
bonus,3.0
booby,4.0
doric,2.0
boost,3.0
umber,3.0
booth,4.0
motto,3.0
booty,4.0
booze,4.0
boozy,5.0
borax,3.0
borne,3.0
bosom,3.0
bossy,4.0
botch,3.0
bough,3.0
boule,3.0
whomp,3.0
bound,4.0
bowel,3.0
chevy,3.0
joker,4.0
boxer,5.0
calve,3.0
brace,4.0
braid,3.0
brawn,3.0
brain,4.0
brake,4.0
brand,3.0
brash,3.0
brass,3.0
brave,4.0
bravo,3.0
brawl,4.0
bread,3.0
break,3.0
ficos,3.0
breed,4.0
briar,3.0
campi,3.0
bribe,4.0
brick,4.0
pride,3.0
bride,4.0
pubic,3.0
brief,4.0
brine,3.0
wring,3.0
bring,4.0
briny,4.0
brink,5.0
frisk,3.0
brisk,4.0
broad,3.0
prowl,3.0
broil,4.0
probe,3.0
broke,4.0
frond,3.0
brood,4.0
gimpy,3.0
brown,4.0
brook,5.0
broom,4.0
froth,3.0
broth,4.0
brunt,3.0
brush,3.0
brute,3.0
dumpy,3.0
buddy,4.0
hijab,3.0
budge,4.0
funky,3.0
guppy,4.0
buggy,5.0
elegy,3.0
bugle,4.0
build,3.0
quilt,3.0
built,4.0
bulge,4.0
bulky,3.0
dully,3.0
bully,4.0
hempy,3.0
bunch,4.0
bunny,4.0
burly,3.0
burnt,3.0
burst,3.0
mhorr,2.0
bused,3.0
bushy,3.0
hider,3.0
butch,4.0
butte,3.0
gumbo,3.0
buxom,4.0
buyer,4.0
bylaw,3.0
labor,3.0
cabal,4.0
caddy,3.0
cabby,4.0
cabin,3.0
creme,2.0
cable,3.0
cacao,3.0
cache,3.0
catch,3.0
cacti,4.0
facet,2.0
cadet,3.0
cagey,3.0
cairn,3.0
camel,3.0
cameo,3.0
canal,3.0
candy,3.0
canny,3.0
canoe,3.0
canon,3.0
thing,2.0
carat,3.0
caput,4.0
cargo,3.0
papal,3.0
carol,4.0
carry,3.0
carve,4.0
caste,3.0
tromp,2.0
where,3.0
cater,4.0
catty,3.0
caulk,4.0
rucks,2.0
cause,3.0
cavil,3.0
chase,3.0
cease,4.0
cedar,3.0
cello,3.0
chafe,4.0
chain,4.0
clack,3.0
chalk,4.0
champ,4.0
chant,3.0
chaos,3.0
chard,4.0
charm,4.0
chart,3.0
chasm,3.0
cheap,4.0
cheat,4.0
check,4.0
cheek,4.0
creek,4.0
cheer,5.0
rhone,2.0
chess,3.0
quich,2.0
chest,3.0
cynic,3.0
chick,4.0
chide,4.0
child,3.0
chill,2.0
chili,5.0
queue,3.0
chime,4.0
china,4.0
chirp,3.0
chock,3.0
bidon,3.0
choir,4.0
choke,4.0
chord,3.0
chore,3.0
whose,3.0
chose,4.0
chunk,3.0
chuck,4.0
chump,4.0
churn,2.0
chute,3.0
drier,3.0
cider,4.0
cigar,4.0
cinch,4.0
circa,4.0
civic,4.0
civil,4.0
claim,3.0
clamp,4.0
clank,3.0
clang,4.0
pucks,2.0
clash,3.0
clasp,3.0
class,3.0
clean,4.0
clear,3.0
cleat,4.0
crews,2.0
cleft,3.0
clump,3.0
clerk,4.0
click,4.0
cliff,4.0
climb,4.0
cling,4.0
clink,4.0
cloak,3.0
clown,3.0
clock,4.0
clone,3.0
close,3.0
cloth,3.0
cloud,3.0
clout,3.0
clove,4.0
moans,3.0
cluck,4.0
piend,3.0
clued,4.0
clung,4.0
coach,4.0
coast,3.0
cobra,4.0
cocoa,4.0
colon,3.0
color,4.0
comet,3.0
conch,3.0
comfy,4.0
comic,4.0
comma,4.0
condo,3.0
conic,4.0
poise,3.0
copse,4.0
coral,3.0
corer,4.0
cough,3.0
couch,4.0
could,3.0
mount,3.0
count,4.0
voice,3.0
coupe,4.0
robot,3.0
court,4.0
coven,4.0
cover,4.0
covet,4.0
gooey,3.0
covey,4.0
cower,4.0
coyly,3.0
crack,4.0
craft,3.0
cramp,2.0
cezve,3.0
crane,4.0
flock,3.0
crank,4.0
crash,3.0
crass,3.0
crate,3.0
crave,4.0
crawl,3.0
craze,4.0
crazy,4.0
creak,4.0
credo,3.0
creed,4.0
creep,4.0
