word,score
aback,3
abase,3
abate,3
abbey,3
abbot,3
abhor,3
abide,3
abled,2
abode,4
abort,3
about,3
above,3
abuse,3
abyss,3
acorn,3
acrid,3
actor,3
acute,3
adage,3
adapt,3
adept,3
admin,3
admit,4
adobe,4
adopt,3
adore,3
adorn,3
adult,3
affix,4
afire,3
afoot,4
afoul,3
after,2
again,3
agape,4
agate,3
agent,3
agile,3
aging,3
aglow,3
agony,3
agora,3
agree,3
ahead,3
aider,3
aisle,2
alarm,4
album,4
alert,3
algae,4
alibi,3
alien,2
align,3
alike,4
alive,4
allay,2
alley,3
allot,2
allow,3
alloy,3
aloft,3
alone,3
along,3
aloof,4
aloud,4
alpha,4
altar,3
alter,2
amass,3
amaze,4
amber,3
amble,4
amend,4
amiss,4
amity,3
among,4
ample,4
amply,3
amuse,3
angel,3
anger,3
angle,3
angry,3
angst,3
anime,4
ankle,3
annex,3
annoy,3
annul,3
anode,3
antic,3
anvil,4
aorta,3
apart,3
aphid,3
aping,4
apnea,3
apple,4
apply,4
apron,3
aptly,3
arbor,3
ardor,3
arena,4
argue,4
arise,3
armor,3
aroma,3
arose,4
array,4
arrow,4
arson,3
artsy,2
ascot,3
ashen,2
aside,3
askew,3
assay,3
asset,2
atoll,3
atone,3
attic,3
audio,3
audit,3
augur,4
aunty,3
avail,4
avert,3
avian,4
avoid,3
await,3
awake,4
award,4
aware,3
awash,3
awful,4
awoke,4
axial,4
axiom,4
axion,4
azure,4
bacon,3
badge,3
badly,3
bagel,3
baggy,4
baker,5
baler,2
balmy,3
banal,3
banjo,3
barge,3
baron,3
basal,2
basic,3
basil,3
basin,3
basis,3
baste,3
batch,3
bathe,2
baton,3
batty,3
bawdy,4
bayou,3
beach,3
beady,3
beard,2
beast,2
beech,3
beefy,4
befit,3
began,3
begat,3
beget,3
begin,3
begun,4
being,4
belch,3
belie,3
belle,3
belly,4
below,3
bench,4
beret,3
berry,4
berth,3
beset,3
betel,3
bevel,3
bezel,3
bible,3
bicep,3
biddy,4
bigot,3
bilge,3
billy,4
binge,4
bingo,4
biome,4
birch,3
birth,3
bison,4
bitty,4
black,3
blade,4
blame,4
bland,4
blank,4
blare,3
blast,2
blaze,5
bleak,4
bleat,3
bleed,3
bleep,4
blend,3
bless,3
blimp,4
blind,4
blink,4
bliss,3
blitz,3
bloat,3
block,3
bloke,3
blond,3
blood,4
bloom,3
blown,4
bluer,3
bluff,4
blunt,3
blurb,3
blurt,3
blush,3
board,3
