word,score
manly,4
molar,3
havoc,3
impel,4
condo,3
judge,5
extra,3
poise,3
aorta,3
excel,4
lunar,3
third,3
slate,2
taper,5
chord,3
probe,3
rival,4
usual,3
spoke,3
apply,4
naive,3
knock,3
braid,3
infer,4
joust,4
amber,3
woken,3
adore,3
torso,3
chafe,4
eject,3
study,3
undue,4
tepid,3
happy,4
clean,4
itchy,4
feast,3
drive,3
prime,4
axiom,4
brave,5
avert,3
glyph,4
there,3
baker,5
snarl,3
maple,3
inane,4
valet,2
medal,3
unite,4
rainy,3
spell,3
begin,3
stale,3
dream,3
photo,3
aloud,4
inept,3
piney,4
aptly,3
waltz,3
libel,3
sneak,4
carry,3
flout,3
foggy,4
fault,2
mummy,4
spiel,3
grove,5
denim,4
quirk,4
exist,3
stein,3
spade,4
catch,4
floor,4
equal,4
ionic,3
valid,3
enjoy,3
howdy,4
vigor,5
dandy,3
sloth,2
march,3
bough,3
sting,3
twine,4
leave,4
scorn,3
scald,3
usurp,4
soggy,4
brisk,3
admit,4
grate,2
glory,3
saint,2
recap,3
alike,4
trice,4
stick,3
chute,3
parer,3
doubt,3
thyme,4
alpha,4
booze,4
tibia,3
lofty,3
theme,3
class,3
leery,3
taunt,3
whoop,4
inter,4
gully,3
charm,4
fungi,4
prize,4
onset,3
chief,4
gauze,4
ruder,4
irony,4
clown,4
needy,3
woven,5
merit,3
waste,5
treat,4
shrug,4
twang,4
twice,3
gruel,4
poker,5
khaki,4
hunky,5
label,3
glean,3
cling,4
patty,4
unfit,3
smear,3
alien,2
buggy,4
rhyme,4
youth,4
coyly,3
quart,3
cramp,4
bluff,4
upset,3
stomp,3
motto,4
cinch,3
elope,3
power,5
midge,4
tryst,4
aphid,3
trite,2
angry,3
flock,4
wacky,3
roomy,4
wedge,4
liver,3
bland,4
night,3
madam,4
berth,3
stead,3
voice,4
agape,4
fluff,4
field,3
sever,3
lilac,3
egret,3
pinto,4
hutch,4
gawky,4
droll,3
retro,4
rusty,3
beady,3
smite,3
brink,4
awful,4
gloat,3
input,3
loser,2
cacao,3
blown,4
apron,3
primo,4
atone,3
donor,4
float,3
goose,3
piety,3
girth,4
trait,4
flood,4
gloom,4
depth,3
froth,4
peach,4
showy,4
creak,4
manor,3
atoll,3
bayou,3
crept,3
tiara,3
asset,2
vouch,4
album,4
hinge,4
money,4
scrap,3
gamer,3
glass,3
scour,3
being,4
delve,3
yield,5
metal,3
tipsy,3
slung,3
farce,3
gecko,3
shine,3
canny,3
midst,3
badge,3
homer,4
train,3
hairy,5
story,4
forgo,4
larva,4
trash,3
zesty,3
shown,3
heist,3
askew,3
inert,3
olive,4
plant,3
oxide,3
cargo,3
foyer,4
flair,3
ample,4
cheek,4
shame,3
mince,4
chunk,4
royal,3
squad,3
black,3
stair,3
scare,3
foray,3
comma,4
natal,3
shawl,3
fewer,3
trope,3
snout,3
lowly,4
stove,4
shall,3
found,4
nymph,3
epoxy,4
depot,3
chest,3
purge,4
slosh,3
their,3
renew,3
allow,3
saute,2
movie,4
cater,3
tease,2
smelt,3
focus,3
today,3
watch,4
lapse,2
month,3
sweet,3
hoard,3
cloth,3
brine,3
ahead,3
mourn,3
nasty,3
rupee,4
choke,4
chant,3
spill,3
vivid,3
bloke,3
trove,4
thorn,3
other,3
tacit,3
swill,3
dodge,3
shake,4
caulk,4
aroma,3
cynic,4
robin,4
ultra,3
ulcer,4
pause,3
humor,4
frame,4
elder,4
skill,3
aloft,3
pleat,3
shard,3
moist,3
those,3
light,3
wrung,4
could,3
perky,5
mount,4
whack,4
sugar,4
knoll,4
crimp,4
wince,5
prick,4
robot,4
point,4
proxy,4
shire,3
solar,2
panic,4
tangy,4
abbey,3
favor,4
drink,3
query,4
gorge,4
crank,3
slump,3
